date_utc,pi_ma110,pi_ma350x2
2010-11-23,0.12290831592960584,0.24581663185921168
2010-11-24,0.12450829013442431,0.24901658026884863
2010-11-25,0.1260478120142815,0.252095624028563
2010-11-26,0.12760028444551405,0.2552005688910281
2010-11-27,0.1291090195479848,0.2582180390959696
2010-11-28,0.13047680473632156,0.2609536094726431
2010-11-29,0.1314299728479586,0.2628599456959172
2010-11-30,0.13215421838712882,0.26430843677425764
2010-12-01,0.13304530045827712,0.26609060091655423
2010-12-02,0.134174510639219,0.268349021278438
2010-12-03,0.1352468553450689,0.2704937106901378
2010-12-04,0.13588097962382448,0.27176195924764895
2010-12-05,0.13648430428967837,0.27296860857935673
2010-12-06,0.13769151149688555,0.2741742460027553
2010-12-07,0.13918178524228497,0.27587925950254216
2010-12-08,0.1407322356927354,0.2776487396823444
2010-12-09,0.14194387257859847,0.2787125192386858
2010-12-10,0.14318351221823813,0.27982706648662814
2010-12-11,0.1446436114173788,0.28133281805511845
2010-12-12,0.14603949981308018,0.28267497403639463
2010-12-13,0.1475044118554557,0.28412485218236916
2010-12-14,0.14914306050410434,0.28586864508084947
2010-12-15,0.1507279693872716,0.2874730364438176
2010-12-16,0.15239427569357786,0.28921440499755685
2010-12-17,0.1539983821378363,0.2908086913847748
2010-12-18,0.1555929767324309,0.2923505567768331
2010-12-19,0.15717072448017863,0.2938533523226184
2010-12-20,0.1590355893450435,0.2957592780978357
2010-12-21,0.1606519062346976,0.2972326066535663
2010-12-22,0.16233298731577867,0.29881672691408534
2010-12-23,0.1640367722526735,0.3003758240387099
2010-12-24,0.1657108418395017,0.3018806253922583
2010-12-25,0.16740678778544762,0.303391460312928
2010-12-26,0.16923887902338342,0.30510761784708573
2010-12-27,0.17107262920898691,0.30679531077547756
2010-12-28,0.17305461119096888,0.30869982338163077
2010-12-29,0.1752067285713534,0.31085760246769273
2010-12-30,0.17735977790239102,0.31298364950837143
2010-12-31,0.17948931965922676,0.31507865936597457
2011-01-01,0.18163796830787537,0.3171433067618733
2011-01-02,0.18378022056012766,0.3191778153463202
2011-01-03,0.1858794097493168,0.321112259522418
2011-01-04,0.18802850884841593,0.3230752931428264
2011-01-05,0.1901637908498797,0.32501020378495404
2011-01-06,0.19230793025521137,0.3269052373249194
2011-01-07,0.19464126358854472,0.32907950651016304
2011-01-08,0.19698540773268886,0.33126378577561016
2011-01-09,0.1993358425450582,0.3334195132702978
2011-01-10,0.20171368038289603,0.3355947546766223
2011-01-11,0.2040984383085599,0.33774060092880726
2011-01-12,0.20641056541404057,0.33975307503363555
2011-01-13,0.20871146631494147,0.34172272120007796
2011-01-14,0.21175624114236974,0.3447575376933825
2011-01-15,0.21467516006128864,0.34756834336645237
2011-01-16,0.21759939031492043,0.35035273327908995
2011-01-17,0.22019034619131111,0.3526166765694855
2011-01-18,0.2224523281732931,0.35438031091419847
2011-01-19,0.22471440024536518,0.35612133456218437
2011-01-20,0.22766959561607197,0.35882119867325324
2011-01-21,0.23089941543589176,0.36186549488418207
2011-01-22,0.23431356552987823,0.36512464936831235
2011-01-23,0.23774694862074233,0.36837262030976037
2011-01-24,0.24097667835047204,0.3713007406805072
2011-01-25,0.24410451618830986,0.3740704891948251
2011-01-26,0.24724041825811785,0.3768686472948407
