symbol,ts_utc,lsr_global,lsr_top_accounts,lsr_top_positions
ADA,2020-05-16 00:00:00+00,,1.14000000000000000000,1.31000000000000000000
ADA,2020-05-17 00:00:00+00,,1.13000000000000000000,1.35000000000000000000
ADA,2020-05-18 00:00:00+00,,1.01000000000000000000,1.28000000000000000000
ADA,2020-05-19 00:00:00+00,,1.13000000000000000000,1.20000000000000000000
ADA,2020-05-20 00:00:00+00,,1.06000000000000000000,1.26000000000000000000
ADA,2020-05-21 00:00:00+00,,0.97000000000000000000,1.32000000000000000000
ADA,2020-05-22 00:00:00+00,,1.45000000000000000000,1.22000000000000000000
ADA,2020-05-23 00:00:00+00,,0.94000000000000000000,1.25000000000000000000
ADA,2020-05-24 00:00:00+00,,1.13000000000000000000,1.18000000000000000000
ADA,2020-05-25 00:00:00+00,,1.87000000000000000000,1.19000000000000000000
ADA,2020-05-26 00:00:00+00,,1.39000000000000000000,1.00000000000000000000
ADA,2020-05-27 00:00:00+00,,1.27000000000000000000,1.11000000000000000000
ADA,2020-05-28 00:00:00+00,,0.94000000000000000000,1.10000000000000000000
ADA,2020-05-29 00:00:00+00,,0.74000000000000000000,1.04000000000000000000
ADA,2020-05-30 00:00:00+00,,0.75000000000000000000,1.08000000000000000000
ADA,2020-05-31 00:00:00+00,,0.75000000000000000000,1.08000000000000000000
ADA,2020-06-01 00:00:00+00,,0.80000000000000000000,1.18000000000000000000
ADA,2020-06-02 00:00:00+00,,0.90000000000000000000,1.20000000000000000000
ADA,2020-06-03 00:00:00+00,,1.05000000000000000000,1.12000000000000000000
ADA,2020-06-04 00:00:00+00,,0.86000000000000000000,1.12000000000000000000
ADA,2020-06-05 00:00:00+00,,0.79000000000000000000,1.08000000000000000000
ADA,2020-06-06 00:00:00+00,,0.88000000000000000000,1.09000000000000000000
ADA,2020-06-07 00:00:00+00,,0.90000000000000000000,1.08000000000000000000
ADA,2020-06-08 00:00:00+00,,0.81000000000000000000,1.05000000000000000000
ADA,2020-06-09 00:00:00+00,,0.86000000000000000000,1.07000000000000000000
ADA,2020-06-10 00:00:00+00,,1.08000000000000000000,1.11000000000000000000
ADA,2020-06-11 00:00:00+00,,1.02000000000000000000,1.08000000000000000000
ADA,2020-06-12 00:00:00+00,,1.42000000000000000000,1.14000000000000000000
ADA,2020-06-13 00:00:00+00,,1.08000000000000000000,1.09000000000000000000
ADA,2020-06-14 00:00:00+00,,1.15000000000000000000,1.10000000000000000000
ADA,2020-06-15 00:00:00+00,,1.24000000000000000000,1.13000000000000000000
ADA,2020-06-16 00:00:00+00,,1.24000000000000000000,1.13000000000000000000
ADA,2020-06-17 00:00:00+00,,0.97000000000000000000,1.04000000000000000000
ADA,2020-06-18 00:00:00+00,,1.14000000000000000000,1.02000000000000000000
ADA,2020-06-19 00:00:00+00,,1.22000000000000000000,1.03000000000000000000
ADA,2020-06-20 00:00:00+00,,1.38000000000000000000,1.01000000000000000000
ADA,2020-06-21 00:00:00+00,,1.38000000000000000000,1.01000000000000000000
ADA,2020-06-22 00:00:00+00,,1.46000000000000000000,1.00000000000000000000
ADA,2020-06-23 00:00:00+00,,1.27000000000000000000,1.01000000000000000000
ADA,2020-06-24 00:00:00+00,,1.38000000000000000000,1.02000000000000000000
ADA,2020-06-25 00:00:00+00,,1.36000000000000000000,1.02000000000000000000
ADA,2020-06-26 00:00:00+00,,1.50000000000000000000,1.00000000000000000000
ADA,2020-06-27 00:00:00+00,,1.48000000000000000000,1.01000000000000000000
ADA,2020-06-28 00:00:00+00,,1.27000000000000000000,1.00000000000000000000
ADA,2020-06-29 00:00:00+00,,0.97000000000000000000,0.97000000000000000000
ADA,2020-06-30 00:00:00+00,,0.84000000000000000000,0.96000000000000000000
ADA,2020-07-01 00:00:00+00,,1.01000000000000000000,0.98000000000000000000
ADA,2020-07-02 00:00:00+00,,0.72000000000000000000,0.90000000000000000000
ADA,2020-07-03 00:00:00+00,,0.83000000000000000000,1.03000000000000000000
ADA,2020-07-04 00:00:00+00,,0.80000000000000000000,1.02000000000000000000
ADA,2020-07-05 00:00:00+00,,0.67000000000000000000,0.98000000000000000000
ADA,2020-07-06 00:00:00+00,,0.79000000000000000000,1.01000000000000000000
ADA,2020-07-07 00:00:00+00,,0.87000000000000000000,1.03000000000000000000
ADA,2020-07-08 00:00:00+00,,0.85000000000000000000,1.01000000000000000000
ADA,2020-07-09 00:00:00+00,,1.07000000000000000000,1.07000000000000000000
ADA,2020-07-10 00:00:00+00,,1.13000000000000000000,1.07000000000000000000
ADA,2020-07-11 00:00:00+00,,1.34000000000000000000,1.07000000000000000000
ADA,2020-07-12 00:00:00+00,,1.21000000000000000000,1.04000000000000000000
ADA,2020-07-13 00:00:00+00,,1.23000000000000000000,1.04000000000000000000
ADA,2020-07-14 00:00:00+00,,1.20000000000000000000,0.98000000000000000000
ADA,2020-07-15 00:00:00+00,,1.11000000000000000000,1.05000000000000000000
ADA,2020-07-16 00:00:00+00,,1.11000000000000000000,1.05000000000000000000
ADA,2020-07-17 00:00:00+00,,1.18000000000000000000,1.01000000000000000000
ADA,2020-07-18 00:00:00+00,,1.48000000000000000000,1.00000000000000000000
ADA,2020-07-19 00:00:00+00,,1.50000000000000000000,1.01000000000000000000
ADA,2020-07-20 00:00:00+00,,1.28000000000000000000,1.01000000000000000000
ADA,2020-07-21 00:00:00+00,,1.35000000000000000000,1.00000000000000000000
ADA,2020-07-22 00:00:00+00,,1.38000000000000000000,1.04000000000000000000
ADA,2020-07-23 00:00:00+00,,1.48000000000000000000,1.02000000000000000000
