symbol,ts_utc,borrow_ir
ADA,2023-11-04 00:00:00+00,0.01857700000000000000
ADA,2023-11-05 00:00:00+00,0.02039900000000000000
ADA,2023-11-06 00:00:00+00,0.01831700000000000000
ADA,2023-11-07 00:00:00+00,0.01934900000000000000
ADA,2023-11-08 00:00:00+00,0.01828900000000000000
ADA,2023-11-09 00:00:00+00,0.02062400000000000000
ADA,2023-11-10 00:00:00+00,0.02105600000000000000
ADA,2023-11-11 00:00:00+00,0.02142000000000000000
ADA,2023-11-12 00:00:00+00,0.02154800000000000000
ADA,2023-11-13 00:00:00+00,0.02083900000000000000
ADA,2023-11-14 00:00:00+00,0.02166400000000000000
ADA,2023-11-15 00:00:00+00,0.02190700000000000000
ADA,2023-11-16 00:00:00+00,0.02191200000000000000
ADA,2023-11-17 00:00:00+00,0.02191200000000000000
ADA,2023-11-18 00:00:00+00,0.02277300000000000000
ADA,2023-11-19 00:00:00+00,0.02210100000000000000
ADA,2023-11-20 00:00:00+00,0.02221800000000000000
ADA,2023-11-21 00:00:00+00,0.02090000000000000000
ADA,2023-11-22 00:00:00+00,0.02122700000000000000
ADA,2023-11-23 00:00:00+00,0.02163500000000000000
ADA,2023-11-24 00:00:00+00,0.02222600000000000000
ADA,2023-11-25 00:00:00+00,0.02081300000000000000
ADA,2023-11-26 00:00:00+00,0.02140300000000000000
ADA,2023-11-27 00:00:00+00,0.02124400000000000000
ADA,2023-11-28 00:00:00+00,0.02300500000000000000
ADA,2023-11-29 00:00:00+00,0.01977400000000000000
ADA,2023-11-30 00:00:00+00,0.02113500000000000000
ADA,2023-12-01 00:00:00+00,0.02180600000000000000
ADA,2023-12-02 00:00:00+00,0.02336400000000000000
ADA,2023-12-03 00:00:00+00,0.02223200000000000000
ADA,2023-12-04 00:00:00+00,0.02228400000000000000
ADA,2023-12-05 00:00:00+00,0.02147700000000000000
ADA,2023-12-06 00:00:00+00,0.02103500000000000000
ADA,2023-12-07 00:00:00+00,0.02137500000000000000
ADA,2023-12-08 00:00:00+00,0.01989200000000000000
ADA,2023-12-09 00:00:00+00,0.01855600000000000000
ADA,2023-12-10 00:00:00+00,0.01701600000000000000
ADA,2023-12-11 00:00:00+00,0.01742200000000000000
ADA,2023-12-12 00:00:00+00,0.01855300000000000000
ADA,2023-12-13 00:00:00+00,0.01852700000000000000
ADA,2023-12-14 00:00:00+00,0.01686100000000000000
ADA,2023-12-15 00:00:00+00,0.01797800000000000000
ADA,2023-12-16 00:00:00+00,0.01824300000000000000
ADA,2023-12-17 00:00:00+00,0.01830200000000000000
ADA,2023-12-18 00:00:00+00,0.01916100000000000000
ADA,2023-12-19 00:00:00+00,0.01806000000000000000
ADA,2023-12-20 00:00:00+00,0.01894600000000000000
ADA,2023-12-21 00:00:00+00,0.01934000000000000000
ADA,2023-12-22 00:00:00+00,0.01865800000000000000
ADA,2023-12-23 00:00:00+00,0.01905900000000000000
ADA,2023-12-24 00:00:00+00,0.01886600000000000000
ADA,2023-12-25 00:00:00+00,0.01829600000000000000
ADA,2023-12-26 00:00:00+00,0.01918700000000000000
