symbol,ts_utc,long_qty,short_qty
ADA,2022-04-05 00:00:00+00,9983398.56,1104345.1
ADA,2022-04-06 00:00:00+00,10291512.02,1570879.29
ADA,2022-04-07 00:00:00+00,10099618.43,1399233.79
ADA,2022-04-08 00:00:00+00,10120183.34,1313247.83
ADA,2022-04-09 00:00:00+00,10119094.92,1332502.48
ADA,2022-04-10 00:00:00+00,10134255.9,1326264.62
ADA,2022-04-11 00:00:00+00,10097055.9,1347683.98
ADA,2022-04-12 00:00:00+00,10066719.11,1473043.05
ADA,2022-04-13 00:00:00+00,10037035.28,1649646.03
ADA,2022-04-14 00:00:00+00,10015734.2,1668883.66
ADA,2022-04-15 00:00:00+00,10026337.69,1684371.66
ADA,2022-04-16 00:00:00+00,10023793.73,1722660.96
ADA,2022-04-17 00:00:00+00,10027477.95,1691836.11
ADA,2022-04-18 00:00:00+00,10084741.05,1447348.45
ADA,2022-04-19 00:00:00+00,10076492.09,1788536.32
ADA,2022-04-20 00:00:00+00,10068132.72,1743532.59
ADA,2022-04-21 00:00:00+00,10084004.25,1741165.67
ADA,2022-04-22 00:00:00+00,10086024.22,1676836.99
ADA,2022-04-23 00:00:00+00,10203864.85,1697436.01
ADA,2022-04-24 00:00:00+00,10212962.55,1759324.12
ADA,2022-04-25 00:00:00+00,10209931.24,1781495.99
ADA,2022-04-26 00:00:00+00,10171658.69,1922841.98
ADA,2022-04-27 00:00:00+00,10141444.66,1942957.58
ADA,2022-04-28 00:00:00+00,10122434.38,1997691.28
ADA,2022-04-29 00:00:00+00,10122941.97,1962284.97
ADA,2022-04-30 00:00:00+00,9463567.1,1818690.26
ADA,2022-05-01 00:00:00+00,8273736.5,1706607.39
ADA,2022-05-02 00:00:00+00,8212759.85,1700653.75
ADA,2022-05-03 00:00:00+00,8249526.49,1633067.0
ADA,2022-05-04 00:00:00+00,8241471.39,1563562.02
ADA,2022-05-05 00:00:00+00,8260240.75,1415081.31
ADA,2022-05-06 00:00:00+00,8251241.6,1248076.89
ADA,2022-05-07 00:00:00+00,8292640.21,1224055.33
ADA,2022-05-08 00:00:00+00,8263666.39,1301220.32
ADA,2022-05-09 00:00:00+00,8164030.89,1316532.06
ADA,2022-05-10 00:00:00+00,8142860.3,1569728.18
ADA,2022-05-11 00:00:00+00,7370418.75,1502271.67
ADA,2022-05-12 00:00:00+00,7325425.91,1579348.17
ADA,2022-05-13 00:00:00+00,7100104.78,2044396.41
ADA,2022-05-14 00:00:00+00,7115727.0,2628689.68
ADA,2022-05-15 00:00:00+00,7135094.82,2598877.95
ADA,2022-05-16 00:00:00+00,7088787.93,2935465.47
ADA,2022-05-17 00:00:00+00,7055486.81,3649576.11
ADA,2022-05-18 00:00:00+00,7081613.95,3940155.78
ADA,2022-05-19 00:00:00+00,7110252.03,4146449.48
ADA,2022-05-20 00:00:00+00,7081050.51,4123558.92
ADA,2022-05-21 00:00:00+00,7082542.77,4191135.21
ADA,2022-05-22 00:00:00+00,7095268.04,3828305.88
ADA,2022-05-23 00:00:00+00,7081628.27,3856822.33
ADA,2022-05-24 00:00:00+00,7352383.09,3794676.55
ADA,2022-05-25 00:00:00+00,7458553.25,3976510.55
ADA,2022-05-26 00:00:00+00,7466577.63,3941783.24
ADA,2022-05-27 00:00:00+00,7404276.78,4017614.54
ADA,2022-05-28 00:00:00+00,7405814.92,4129126.02
ADA,2022-05-29 00:00:00+00,7439254.23,4159699.56
ADA,2022-05-30 00:00:00+00,7384168.31,4064341.98
ADA,2022-05-31 00:00:00+00,7187718.5,4225486.72
ADA,2022-06-01 00:00:00+00,7135933.6,3681446.6
ADA,2022-06-02 00:00:00+00,7284141.1,3745371.05
ADA,2022-06-03 00:00:00+00,7310005.03,3776664.03
ADA,2022-06-04 00:00:00+00,7277919.56,3840201.44
ADA,2022-06-05 00:00:00+00,7255396.36,3904330.78
ADA,2022-06-06 00:00:00+00,7255234.6,3990307.63
ADA,2022-06-07 00:00:00+00,7269559.74,4017867.78
ADA,2022-06-08 00:00:00+00,7284582.49,3901756.66
ADA,2022-06-09 00:00:00+00,7448279.18,3638105.26
ADA,2022-06-10 00:00:00+00,7444101.94,3774098.76
ADA,2022-06-11 00:00:00+00,7446862.03,4039976.86
ADA,2022-06-12 00:00:00+00,7406197.39,4393588.37
ADA,2022-06-13 00:00:00+00,7025410.44,4425746.06
ADA,2022-06-14 00:00:00+00,6667688.75,4500368.68
ADA,2022-06-15 00:00:00+00,6600598.45,4237989.56
ADA,2022-06-16 00:00:00+00,6524736.91,4172261.63
ADA,2022-06-17 00:00:00+00,6526843.56,4219885.21
ADA,2022-06-18 00:00:00+00,7170965.37,3651840.04
ADA,2022-06-19 00:00:00+00,7520123.11,3338146.51
ADA,2022-06-20 00:00:00+00,7518284.36,3373519.33
ADA,2022-06-21 00:00:00+00,7623811.94,3232869.8
ADA,2022-06-22 00:00:00+00,7606936.41,3257518.78
ADA,2022-06-23 00:00:00+00,7776910.14,3265513.48
ADA,2022-06-24 00:00:00+00,7731398.86,1021504.27
ADA,2022-06-25 00:00:00+00,7692844.03,996558.4
ADA,2022-06-26 00:00:00+00,7623867.69,910196.59
ADA,2022-06-27 00:00:00+00,6960278.56,783065.56
ADA,2022-06-28 00:00:00+00,6614464.25,531359.01
ADA,2022-06-29 00:00:00+00,6885858.76,547821.24
ADA,2022-06-30 00:00:00+00,7067825.47,726051.86
ADA,2022-07-01 00:00:00+00,6603786.64,711329.2
ADA,2022-07-02 00:00:00+00,6724586.05,538336.77
ADA,2022-07-03 00:00:00+00,6719175.53,742738.05
ADA,2022-07-04 00:00:00+00,6716477.53,857319.71
ADA,2022-07-05 00:00:00+00,8125783.67,826746.62
ADA,2022-07-06 00:00:00+00,7644898.41,648693.63
ADA,2022-07-07 00:00:00+00,7518890.8,615413.91
ADA,2022-07-08 00:00:00+00,7551067.74,601061.29
ADA,2022-07-09 00:00:00+00,7545957.11,498394.82
ADA,2022-07-10 00:00:00+00,7562996.49,454229.5
ADA,2022-07-11 00:00:00+00,7492851.22,500366.48
ADA,2022-07-12 00:00:00+00,8391148.26,617418.44
ADA,2022-07-13 00:00:00+00,8328159.08,742686.19
ADA,2022-07-14 00:00:00+00,8199439.08,630320.9
ADA,2022-07-15 00:00:00+00,8113106.01,674505.57
ADA,2022-07-16 00:00:00+00,8056729.07,571783.91
ADA,2022-07-17 00:00:00+00,7985971.57,624673.96
ADA,2022-07-18 00:00:00+00,7907736.38,578087.4
ADA,2022-07-19 00:00:00+00,7898287.07,428107.81
ADA,2022-07-20 00:00:00+00,8530899.93,385181.18
ADA,2022-07-21 00:00:00+00,8281152.49,349240.39
ADA,2022-07-22 00:00:00+00,8208897.49,358965.8
ADA,2022-07-23 00:00:00+00,8294281.78,288662.32
ADA,2022-07-24 00:00:00+00,8401839.63,285252.64
ADA,2022-07-25 00:00:00+00,8499600.71,397406.28
ADA,2022-07-26 00:00:00+00,8382494.0,414515.1
ADA,2022-07-27 00:00:00+00,8216476.75,457581.62
ADA,2022-07-28 00:00:00+00,8179050.31,517881.22
ADA,2022-07-29 00:00:00+00,8180274.39,537063.5
ADA,2022-07-30 00:00:00+00,8211859.57,480301.05
ADA,2022-07-31 00:00:00+00,8196444.51,442938.21
ADA,2022-08-01 00:00:00+00,8178547.33,453809.4
ADA,2022-08-02 00:00:00+00,8154944.4,392157.53
ADA,2022-08-03 00:00:00+00,8162237.27,390384.64
ADA,2022-08-04 00:00:00+00,8163682.43,364740.61
ADA,2022-08-05 00:00:00+00,8224345.72,364355.72
ADA,2022-08-06 00:00:00+00,8146618.67,362724.1
ADA,2022-08-07 00:00:00+00,8375437.85,392265.27
ADA,2022-08-08 00:00:00+00,8449740.5,347668.42
ADA,2022-08-09 00:00:00+00,8513445.87,381642.03
ADA,2022-08-10 00:00:00+00,8432619.51,363304.43
ADA,2022-08-11 00:00:00+00,8408268.48,355433.1
ADA,2022-08-12 00:00:00+00,8393763.46,356398.21
ADA,2022-08-13 00:00:00+00,8325565.08,371321.44
ADA,2022-08-14 00:00:00+00,8316750.15,437082.93
ADA,2022-08-15 00:00:00+00,7933646.35,374662.88
ADA,2022-08-16 00:00:00+00,7729586.46,327139.17
ADA,2022-08-17 00:00:00+00,7717823.18,293855.72
ADA,2022-08-18 00:00:00+00,7610788.16,326730.16
ADA,2022-08-19 00:00:00+00,7421689.48,335715.93
ADA,2022-08-20 00:00:00+00,7030208.51,504279.03
ADA,2022-08-21 00:00:00+00,6994455.47,617801.17
ADA,2022-08-22 00:00:00+00,6998902.96,934677.77
ADA,2022-08-23 00:00:00+00,6991545.88,831201.82
ADA,2022-08-24 00:00:00+00,7024148.18,761493.86
ADA,2022-08-25 00:00:00+00,7047107.37,759558.49
ADA,2022-08-26 00:00:00+00,7073730.04,655072.73
ADA,2022-08-27 00:00:00+00,7019664.82,733896.14
ADA,2022-08-28 00:00:00+00,6974110.15,839466.84
ADA,2022-08-29 00:00:00+00,6988418.22,847924.6
ADA,2022-08-30 00:00:00+00,6990188.72,865045.94
ADA,2022-08-31 00:00:00+00,6981051.4,916767.09
ADA,2022-09-01 00:00:00+00,6974696.93,891219.32
ADA,2022-09-02 00:00:00+00,6967814.97,882601.82
ADA,2022-09-03 00:00:00+00,6974040.22,840917.55
ADA,2022-09-04 00:00:00+00,6988155.16,671645.62
ADA,2022-09-05 00:00:00+00,7003608.05,702068.2
ADA,2022-09-06 00:00:00+00,7039956.66,652763.56
ADA,2022-09-07 00:00:00+00,7040419.27,629704.33
ADA,2022-09-08 00:00:00+00,7020063.39,543745.69
ADA,2022-09-09 00:00:00+00,7020030.28,530346.15
ADA,2022-09-10 00:00:00+00,7044384.4,534393.28
ADA,2022-09-11 00:00:00+00,7259469.74,582274.26
ADA,2022-09-12 00:00:00+00,7273753.35,547782.87
ADA,2022-09-13 00:00:00+00,7241023.03,662885.36
ADA,2022-09-14 00:00:00+00,7245749.31,602917.18
ADA,2022-09-15 00:00:00+00,7245794.41,551073.96
ADA,2022-09-16 00:00:00+00,7258218.24,544914.31
ADA,2022-09-17 00:00:00+00,7222050.9,573527.97
ADA,2022-09-18 00:00:00+00,7208109.01,581647.51
ADA,2022-09-19 00:00:00+00,6999464.37,635175.58
ADA,2022-09-20 00:00:00+00,6964112.58,855551.77
ADA,2022-09-21 00:00:00+00,6950859.81,847293.12
ADA,2022-09-22 00:00:00+00,6953851.63,835318.33
ADA,2022-09-23 00:00:00+00,6961713.93,794216.38
ADA,2022-09-24 00:00:00+00,6963066.92,726667.59
ADA,2022-09-25 00:00:00+00,6968271.68,741831.14
ADA,2022-09-26 00:00:00+00,6986067.76,801833.93
ADA,2022-09-27 00:00:00+00,6979707.37,796888.15
ADA,2022-09-28 00:00:00+00,6992626.8,757697.37
ADA,2022-09-29 00:00:00+00,6975782.74,1235140.28
ADA,2022-09-30 00:00:00+00,6983615.87,1931978.77
ADA,2022-10-01 00:00:00+00,7008825.76,2506216.71
ADA,2022-10-02 00:00:00+00,6902684.75,2457665.72
ADA,2022-10-03 00:00:00+00,6898617.36,2561891.1
ADA,2022-10-04 00:00:00+00,6912249.32,2835264.04
ADA,2022-10-05 00:00:00+00,6950680.89,2729963.86
ADA,2022-10-06 00:00:00+00,6942094.08,2820758.73
ADA,2022-10-07 00:00:00+00,6942981.0,2799958.45
ADA,2022-10-08 00:00:00+00,6943460.55,2869297.53
ADA,2022-10-09 00:00:00+00,6940565.26,2918167.13
ADA,2022-10-10 00:00:00+00,6952139.64,2861393.92
ADA,2022-10-11 00:00:00+00,6968137.32,3068687.84
ADA,2022-10-12 00:00:00+00,7010383.27,3344131.25
ADA,2022-10-13 00:00:00+00,7033604.09,3516345.14
ADA,2022-10-14 00:00:00+00,7021405.61,3452481.48
ADA,2022-10-15 00:00:00+00,7010931.7,3510023.69
ADA,2022-10-16 00:00:00+00,6951664.16,3492494.64
ADA,2022-10-17 00:00:00+00,6954244.03,3373060.76
ADA,2022-10-18 00:00:00+00,7001200.88,3312257.12
ADA,2022-10-19 00:00:00+00,7025176.63,3576201.9
ADA,2022-10-20 00:00:00+00,7033563.78,3951515.37
ADA,2022-10-21 00:00:00+00,6995871.59,3721988.11
ADA,2022-10-22 00:00:00+00,7028183.42,3694211.68
ADA,2022-10-23 00:00:00+00,7020211.92,3676403.42
ADA,2022-10-24 00:00:00+00,7040236.71,3703344.71
ADA,2022-10-25 00:00:00+00,7112295.15,3714030.4
ADA,2022-10-26 00:00:00+00,7018518.84,3764502.92
ADA,2022-10-27 00:00:00+00,7837021.47,3281175.74
ADA,2022-10-28 00:00:00+00,7756492.54,3209979.07
ADA,2022-10-29 00:00:00+00,7753790.74,3101510.06
ADA,2022-10-30 00:00:00+00,7147876.74,3032778.0
ADA,2022-10-31 00:00:00+00,7145972.78,3040187.8
ADA,2022-11-01 00:00:00+00,7013875.02,3062488.91
ADA,2022-11-02 00:00:00+00,7039667.81,2966207.42
ADA,2022-11-03 00:00:00+00,7038326.24,3116891.29
ADA,2022-11-04 00:00:00+00,7024682.22,3160333.29
ADA,2022-11-05 00:00:00+00,7045365.15,2910811.7
ADA,2022-11-06 00:00:00+00,7036287.65,2949756.02
ADA,2022-11-07 00:00:00+00,7049427.29,2926873.05
ADA,2022-11-08 00:00:00+00,7004353.46,3153820.32
ADA,2022-11-09 00:00:00+00,7004353.46,3153820.32
ADA,2022-11-10 00:00:00+00,6252529.7,2977467.27
ADA,2022-11-11 00:00:00+00,6238236.85,2810191.18
ADA,2022-11-12 00:00:00+00,6300942.76,2835894.07
ADA,2022-11-13 00:00:00+00,6270963.6,2066020.87
ADA,2022-11-14 00:00:00+00,6263023.1,547019.15
ADA,2022-11-15 00:00:00+00,6218647.34,585196.58
ADA,2022-11-16 00:00:00+00,6198395.65,447034.45
ADA,2022-11-17 00:00:00+00,6176490.56,524759.14
ADA,2022-11-18 00:00:00+00,6237960.62,498836.44
ADA,2022-11-19 00:00:00+00,6185190.99,517777.03
ADA,2022-11-20 00:00:00+00,6173313.72,540011.07
ADA,2022-11-21 00:00:00+00,6197827.14,476230.22
ADA,2022-11-22 00:00:00+00,6168135.88,455144.18
ADA,2022-11-23 00:00:00+00,6076283.16,779741.34
ADA,2022-11-24 00:00:00+00,6174988.86,509827.98
ADA,2022-11-25 00:00:00+00,6085375.15,506166.7
ADA,2022-11-26 00:00:00+00,6212151.83,379188.44
ADA,2022-11-27 00:00:00+00,6180561.0,376430.22
ADA,2022-11-28 00:00:00+00,6124122.13,386552.86
ADA,2022-11-29 00:00:00+00,6130678.15,411073.95
ADA,2022-11-30 00:00:00+00,6141069.45,530695.73
ADA,2022-12-01 00:00:00+00,6130545.42,507789.65
ADA,2022-12-02 00:00:00+00,6178436.31,406948.0
ADA,2022-12-03 00:00:00+00,6210428.83,424210.91
ADA,2022-12-04 00:00:00+00,6175766.42,312194.5
ADA,2022-12-05 00:00:00+00,6169060.94,396098.43
ADA,2022-12-06 00:00:00+00,6218621.9,339718.81
ADA,2022-12-07 00:00:00+00,6207698.48,351914.19
ADA,2022-12-08 00:00:00+00,6260522.76,310159.19
ADA,2022-12-09 00:00:00+00,6193478.15,413560.38
ADA,2022-12-10 00:00:00+00,6174013.61,393914.57
ADA,2022-12-11 00:00:00+00,6178505.48,276141.85
ADA,2022-12-12 00:00:00+00,6185375.17,589288.65
ADA,2022-12-13 00:00:00+00,6176047.58,538367.7
ADA,2022-12-14 00:00:00+00,6186971.92,753709.89
ADA,2022-12-15 00:00:00+00,6230883.88,737843.43
ADA,2022-12-16 00:00:00+00,6210137.66,777681.83
ADA,2022-12-17 00:00:00+00,6207599.54,913178.96
ADA,2022-12-18 00:00:00+00,6264776.73,1068628.13
ADA,2022-12-19 00:00:00+00,6283090.7,993499.2
ADA,2022-12-20 00:00:00+00,6322773.01,1028147.65
ADA,2022-12-21 00:00:00+00,6215015.95,983955.4
ADA,2022-12-22 00:00:00+00,6277111.43,976677.78
ADA,2022-12-23 00:00:00+00,6299032.71,892934.21
ADA,2022-12-24 00:00:00+00,6251673.31,942068.43
ADA,2022-12-25 00:00:00+00,6236015.56,911715.3
ADA,2022-12-26 00:00:00+00,6251040.16,818683.64
ADA,2022-12-27 00:00:00+00,6278052.91,761220.15
ADA,2022-12-28 00:00:00+00,6274953.52,763602.16
ADA,2022-12-29 00:00:00+00,6272254.99,790605.37
ADA,2022-12-30 00:00:00+00,6203781.05,962996.99
ADA,2022-12-31 00:00:00+00,6210537.96,925693.52
BTC,2022-01-13 00:00:00+00,32182.27,2325.12
BTC,2022-01-14 00:00:00+00,32182.27,2325.12
BTC,2022-01-15 00:00:00+00,32182.27,2325.12
BTC,2022-01-16 00:00:00+00,32182.27,2325.12
